,match_date,match_map,match_mode,match_duration,match_result,champ_name,champ_kills,champ_deaths,champ_assists,champ_farm,champ_gold,champ_level,champ_first_spell,champ_second_spell
0,2020-07-09,Summoner's Rift,Normal (Draft Mode),36.58333333333332,defeat,Miss Fortune,7,10,9,164,12200,15,SummonerHeal,SummonerFlash
1,2020-07-09,Howling Abyss,,31.066666666666663,victory,Miss Fortune,20,9,33,172,22100,18,SummonerHeal,SummonerFlash
2,2020-07-09,Summoner's Rift,Ranked (Draft Mode),36.06666666666666,victory,Xayah,12,4,4,269,17400,16,SummonerHeal,SummonerFlash
3,2020-07-08,Summoner's Rift,Normal (Draft Mode),30.53333333333333,defeat,Miss Fortune,6,6,7,188,11000,13,SummonerHeal,SummonerFlash
4,2020-07-08,Summoner's Rift,Normal (Draft Mode),3.333333333333333,earlysurrender,Xayah,0,0,1,16,1200,3,SummonerHeal,SummonerFlash
5,2020-07-08,Summoner's Rift,Normal (Draft Mode),40.18333333333332,victory,Miss Fortune,14,7,8,263,18000,17,SummonerHeal,SummonerFlash
6,2020-07-08,Summoner's Rift,Normal (Draft Mode),43.68333333333332,victory,Miss Fortune,25,7,5,314,24300,18,SummonerHeal,SummonerFlash
7,2020-07-07,Summoner's Rift,Normal (Draft Mode),31.2,defeat,Malphite,9,10,6,160,12000,15,SummonerTeleport,SummonerFlash
8,2020-07-07,Summoner's Rift,Normal (Draft Mode),32.9,defeat,Caitlyn,1,10,9,161,9600,15,SummonerHeal,SummonerFlash
9,2020-07-07,Summoner's Rift,Normal (Draft Mode),35.5,victory,Miss Fortune,15,3,6,261,16700,17,SummonerBoost,SummonerFlash
10,2020-07-07,Summoner's Rift,Normal (Draft Mode),3.6666666666666665,earlysurrender,Senna,0,1,1,0,995,2,SummonerBoost,SummonerFlash
11,2020-07-05,Summoner's Rift,Normal (Draft Mode),33.68333333333333,defeat,Miss Fortune,18,9,13,345,21400,18,SummonerHeal,SummonerFlash
12,2020-07-05,Summoner's Rift,Normal (Draft Mode),31.25,defeat,Miss Fortune,6,4,8,207,11500,14,SummonerHeal,SummonerFlash
13,2020-07-05,Summoner's Rift,Normal (Draft Mode),28.383333333333333,victory,Miss Fortune,13,6,8,166,12800,14,SummonerHeal,SummonerFlash
14,2020-07-04,Summoner's Rift,Ranked (Draft Mode),34.95,victory,Caitlyn,12,5,9,180,15100,16,SummonerHeal,SummonerFlash
15,2020-07-04,Summoner's Rift,Ranked (Draft Mode),41.033333333333324,defeat,Aphelios,7,9,10,228,14200,16,SummonerHeal,SummonerFlash
16,2020-07-03,Summoner's Rift,Ranked (Draft Mode),27.8,defeat,Caitlyn,4,7,15,128,9200,13,SummonerHeal,SummonerFlash
17,2020-07-03,Summoner's Rift,Ranked (Draft Mode),35.45,victory,Xayah,8,5,7,260,15100,16,SummonerHeal,SummonerFlash
18,2020-07-03,Summoner's Rift,Ranked (Draft Mode),25.633333333333333,victory,Miss Fortune,9,2,10,155,12300,13,SummonerHeal,SummonerFlash
19,2020-07-02,Summoner's Rift,Ranked (Draft Mode),36.83333333333332,defeat,Caitlyn,11,9,13,185,13800,14,SummonerHeal,SummonerFlash
20,2020-07-02,Summoner's Rift,Ranked (Draft Mode),37.06666666666666,defeat,Xayah,7,7,12,228,13400,15,SummonerHeal,SummonerFlash
21,2020-07-02,Summoner's Rift,Ranked (Draft Mode),3.3666666666666663,earlysurrender,Caitlyn,0,0,0,14,929,2,SummonerHeal,SummonerFlash
22,2020-07-02,Summoner's Rift,Ranked (Draft Mode),21.566666666666663,victory,Ashe,2,1,4,154,7300,10,SummonerHeal,SummonerFlash
23,2020-07-02,Summoner's Rift,Ranked (Draft Mode),31.616666666666664,defeat,Thresh,3,8,18,37,8800,13,SummonerExhaust,SummonerFlash
24,2020-07-02,Summoner's Rift,Ranked (Draft Mode),24.26666666666666,victory,Ezreal,4,3,5,118,7700,12,SummonerHeal,SummonerFlash
